Questão  1;
Dispositivo; Visitação média por req.; 
Cpu 1;14.825825825825826;
Cpu 2;10.423423423423424;
Disco Rapido;6.465465465465465;
Disco Lento;4.867867867867868;

Questão  2;
Dispositivo; Demanda média (ms); 
Cpu 1;17.500622964295406;
Cpu 2;24.889534061144953;
Disco Rapido;40.185187347984005;
Disco Lento;53.28338903640669;

Questão  3;
Nº Pool;Ui (cpu #1);Ui (cpu #2);Ui (disco rápido);Ui (disco lento);
67;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
68;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
69;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
70;1.00020921525105;1.0001905354200842;1.0018390456893234;0.9995877769719831;
71;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
72;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
73;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
74;1.00020921525105;1.0001905354200842;1.0018390456893234;0.9995877769719831;
75;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
76;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
77;1.00020921525105;1.0001905354200842;1.0018390456893234;1.0002969562158757;
